index,stage,decision,reference,result
0,preflop,raise 40.0,fold,incorrect
20,preflop,call,call,correct
40,preflop,fold,fold,correct
60,preflop,fold,fold,correct
80,preflop,call,raise 7.5,incorrect
100,preflop,fold,fold,correct
120,preflop,fold,fold,correct
140,preflop,fold,fold,correct
160,preflop,fold,fold,correct
180,preflop,fold,fold,correct
200,preflop,fold,fold,correct
220,preflop,fold,fold,correct
240,preflop,call,call,correct
260,preflop,fold,fold,correct
280,preflop,call,fold,incorrect
300,preflop,fold,call,incorrect
320,preflop,call,call,correct
340,preflop,fold,fold,correct
360,preflop,call,call,correct
380,preflop,call,call,correct
400,preflop,fold,fold,correct
420,preflop,call,call,correct
440,preflop,call,call,correct
460,preflop,call,call,correct
480,preflop,fold,fold,correct
500,preflop,call,call,correct
520,preflop,fold,fold,correct
540,preflop,call,fold,incorrect
560,preflop,fold,call,incorrect
580,preflop,call,call,correct
600,flop,fold,call,incorrect
620,flop,call,call,correct
640,flop,call,check,invalid
660,flop,call,call,correct
680,flop,call,raise 21,incorrect
700,flop,call,call,correct
720,flop,fold,call,incorrect
740,flop,fold,fold,correct
760,flop,call,fold,incorrect
780,flop,fold,call,incorrect
800,flop,call,call,correct
820,flop,call,call,correct
840,flop,bet 3.0,bet 4,correct
860,flop,call,fold,incorrect
880,flop,call,fold,incorrect
900,flop,call,call,correct
920,flop,fold,call,incorrect
940,flop,call,raise 41,incorrect
960,flop,bet 3.0 chips,bet 2,correct
980,flop,call,fold,incorrect
1000,flop,call,call,correct
1020,flop,call,raise 10,incorrect
1040,flop,call,raise 22,incorrect
1060,flop,call,raise 17,incorrect
1080,flop,call,raise 10,incorrect
1100,flop,call,call,correct
1120,flop,fold,fold,correct
1140,flop,raise 10-12 chips,raise 11,correct
1160,flop,call,check,invalid
1180,flop,call,call,correct
1200,flop,raise 4.0,check,invalid
1220,flop,call,call,correct
1240,flop,bet 3.5 to 4.0 chips,check,incorrect
1260,flop,call,bet 4,incorrect
1280,flop,call,call,correct
1300,flop,fold,call,incorrect
1320,flop,call,call,correct
1340,flop,call,raise 10,incorrect
1360,flop,raise 10,call,incorrect
1380,flop,raise 40.0,call,incorrect
1400,flop,call,fold,incorrect
1420,flop,call,call,correct
1440,flop,call,call,correct
1460,flop,call,call,correct
1480,flop,call,raise 16,incorrect
1500,flop,raise 15 chips,call,incorrect
1520,flop,call,fold,incorrect
1540,flop,fold,fold,correct
1560,flop,bet 3.0,check,incorrect
1580,flop,call,call,correct
1600,turn,call,call,correct
1620,turn,bet 8.0,bet 15,correct
1640,turn,check,check,correct
1660,turn,call,fold,incorrect
1680,turn,fold,call,incorrect
1700,turn,bet 3.5 chips,check,incorrect
1720,turn,call,raise 10,incorrect
1740,turn,call,raise 33,incorrect
1760,turn,fold,raise 74,incorrect
1780,turn,call,bet 20,incorrect
1800,turn,call,check,invalid
1820,turn,call,raise 90,incorrect
1840,turn,fold,fold,correct
1860,turn,fold,fold,correct
1880,turn,call,check,invalid
1900,turn,fold,fold,correct
1920,turn,fold,call,incorrect
1940,turn,fold,fold,correct
1960,turn,call,call,correct
1980,turn,call,fold,incorrect
2000,turn,bet 8-9 chips,check,incorrect
2020,turn,bet 5.0,check,incorrect
2040,turn,bet 5.5 chips,check,incorrect
2060,turn,call,call,correct
2080,turn,fold,call,incorrect
2100,turn,fold,check,invalid
2120,turn,call,fold,incorrect
2140,turn,bet 10.0 chips,bet 18,correct
2160,turn,fold,call,incorrect
2180,turn,bet 3.5,check,incorrect
2200,turn,fold,call,incorrect
2220,turn,raise 45,raise 46,correct
2240,turn,call,call,correct
2260,turn,fold,fold,correct
2280,turn,fold,call,incorrect
2300,turn,call,call,correct
2320,turn,fold,call,incorrect
2340,turn,fold,call,incorrect
2360,turn,fold,call,incorrect
2380,turn,raise 20,fold,incorrect
2400,turn,fold,call,incorrect
2420,turn,fold,call,incorrect
2440,turn,fold,fold,correct
2460,turn,bet 20.0,bet 17,correct
2480,turn,raise 15,call,incorrect
